#Dt, msdx1, msdy1, msdr1, msdx2, msdy2, msdr2 
54400, 34258.944794, 0.043702, 34258.988497, 34213.216065, 0.067238, 34213.283303
54600, 34522.112631, 0.048458, 34522.161089, 34460.427270, 0.066339, 34460.493609
54800, 34774.586584, 0.061706, 34774.648290, 34710.110496, 0.080003, 34710.190499
55000, 35032.943546, 0.070091, 35033.013637, 34976.243658, 0.092038, 34976.335696
55200, 35291.067283, 0.083557, 35291.150840, 35216.977699, 0.087252, 35217.064950
55400, 35545.385166, 0.089907, 35545.475073, 35476.956603, 0.084652, 35477.041255
55600, 35804.198554, 0.099184, 35804.297738, 35733.161410, 0.079644, 35733.241055
55800, 36049.907009, 0.103418, 36050.010428, 35998.335364, 0.075708, 35998.411072
56000, 36316.274387, 0.104589, 36316.378976, 36252.878120, 0.086250, 36252.964370
56200, 36575.105543, 0.118561, 36575.224104, 36511.994701, 0.093282, 36512.087983
56400, 36822.128091, 0.128021, 36822.256113, 36778.558061, 0.094342, 36778.652403
56600, 37081.105383, 0.126683, 37081.232066, 37043.910210, 0.096468, 37044.006677
56800, 37346.092805, 0.121929, 37346.214735, 37308.686125, 0.103538, 37308.789663
57000, 37608.479945, 0.113457, 37608.593402, 37559.005531, 0.127473, 37559.133004
57200, 37876.842350, 0.129105, 37876.971455, 37825.421601, 0.145021, 37825.566622
57400, 38139.025151, 0.144507, 38139.169657, 38103.833034, 0.150344, 38103.983378
57600, 38402.017095, 0.162250, 38402.179345, 38372.546148, 0.163149, 38372.709298
57800, 38679.497212, 0.164323, 38679.661535, 38633.544854, 0.178607, 38633.723461
58000, 38938.945782, 0.169794, 38939.115577, 38907.213206, 0.151993, 38907.365199
58200, 39211.753841, 0.176143, 39211.929984, 39178.077018, 0.142124, 39178.219141
58400, 39471.623278, 0.173334, 39471.796611, 39446.276172, 0.143611, 39446.419783
58600, 39745.829921, 0.155022, 39745.984943, 39710.677179, 0.151456, 39710.828635
58800, 40018.968010, 0.140807, 40019.108817, 39991.236540, 0.159782, 39991.396322
59000, 40295.403683, 0.135633, 40295.539316, 40252.881868, 0.197564, 40253.079432
59200, 40564.586015, 0.151330, 40564.737345, 40532.143603, 0.206714, 40532.350317
59400, 40836.522459, 0.139499, 40836.661958, 40801.418087, 0.208520, 40801.626607
59600, 41104.776479, 0.147660, 41104.924139, 41090.815918, 0.195289, 41091.011207
59800, 41377.045848, 0.157277, 41377.203125, 41372.179054, 0.188805, 41372.367859
60000, 41646.294752, 0.178146, 41646.472898, 41648.720121, 0.204022, 41648.924143
60200, 41925.871553, 0.208551, 41926.080104, 41921.682745, 0.228151, 41921.910896
60400, 42204.945747, 0.228402, 42205.174149, 42215.938737, 0.225887, 42216.164624
60600, 42490.844689, 0.258266, 42491.102955, 42496.595828, 0.230805, 42496.826633
60800, 42773.550765, 0.269691, 42773.820456, 42776.921000, 0.224346, 42777.145346
61000, 43048.436180, 0.274057, 43048.710237, 43058.442843, 0.216544, 43058.659386
61200, 43331.466444, 0.271799, 43331.738243, 43337.664903, 0.216787, 43337.881690
61400, 43607.340435, 0.256376, 43607.596811, 43634.671516, 0.220337, 43634.891853
61600, 43900.704098, 0.247783, 43900.951881, 43909.321028, 0.190722, 43909.511750
61800, 44189.839849, 0.241949, 44190.081798, 44192.394105, 0.175949, 44192.570054
62000, 44474.193854, 0.248758, 44474.442611, 44486.852380, 0.164681, 44487.017061
62200, 44768.038150, 0.273500, 44768.311649, 44772.224214, 0.141613, 44772.365827
62400, 45055.769196, 0.285064, 45056.054261, 45060.196057, 0.148373, 45060.344430
62600, 45347.525352, 0.279766, 45347.805118, 45341.328856, 0.140637, 45341.469494
62800, 45627.522045, 0.280404, 45627.802449, 45648.284106, 0.127162, 45648.411268
63000, 45914.313472, 0.298651, 45914.612123, 45931.812214, 0.128452, 45931.940666
63200, 46215.346759, 0.305998, 46215.652757, 46218.976346, 0.135786, 46219.112133
63400, 46508.611172, 0.312509, 46508.923681, 46519.900835, 0.156268, 46520.057103
63600, 46808.010957, 0.327128, 46808.338086, 46815.746394, 0.167250, 46815.913644
63800, 47107.815405, 0.311420, 47108.126825, 47116.120233, 0.145524, 47116.265757
64000, 47400.092963, 0.290096, 47400.383058, 47394.213624, 0.148711, 47394.362335
64200, 47697.604749, 0.284941, 47697.889689, 47683.049243, 0.155303, 47683.204546
64400, 48006.680063, 0.249816, 48006.929879, 47988.978491, 0.137337, 47989.115828
64600, 48299.601920, 0.240676, 48299.842596, 48274.650410, 0.100815, 48274.751225
